 ,Title,genres,original_language,overview,poster_path
1437,Dolittle,"Family,Fantasy,Adventure",en,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7y6WuIbMmlQmWc2cCkpKd6NWS7tcTvYHwQX4QkvciZGa1mcdnbhc763DZ3ywMfuN_MTvC
1540,Black Is King,Music,en,"This visual album from Beyoncé reimagines the lessons of ""The Lion King"" (2019) for today’s young kings and queens in search of their own crowns.",https://lumiere-a.akamaihd.net/v1/images/p_disneyplusoriginals_blackisking_poster_rebrand_3a95d39e.jpeg
1612,Over the Moon,"Animation,Adventure,Family,Fantasy",en,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSzNbqcaSUw04iM2_Y4lxNpPJgLz7vDwXDYDSup_juLB9P_7YQNvKPFjVX8tE5tg0MKAKY
1714,Never Grow Old,Western,en,"An Irish undertaker profits when outlaws take over a peaceful town, but his own family come under threat as the death toll increases dramatically.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5fo_0dk9YLSHWIW-ZtWBoZ7ubAUmZce9KZPQ-y4Z3YbRD-PnQwPHPej5xz4mLjBpXH13FHg
1747,"Extremely Wicked, Shockingly Evil and Vile",Crime,en,"A chronicle of the crimes of Ted Bundy, from the perspective of his longtime girlfriend, Elizabeth Kloepfer, who refused to believe the truth about him for years.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-CFopu1BOBIgY9FCizVK4Bfx2fMW6PghGBHw9yFeNWTfZfaFc
1749,Pokemon Detective Pikachu,"Action,Adventure,Fantasy",en,"In a world where people collect pocket-size monsters (Pokémon) to do battle, a boy comes across an intelligent monster who seeks to be a detective.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT_Oa9jLp3dBESQQxXeYVix3D_84z1g1xbUAu6eL8H17UO3bOCRFKh7lOtUG7lBfSLl3KYX8Q
1772,Shaft,"Action,Crime",en,"JJ, aka John Shaft Jr., may be a cyber security expert with a degree from MIT, but to uncover the truth behind his best friend’s untimely death, he needs an education only his dad can provide. Absent throughout JJ’s youth, the legendary locked-and-loaded John Shaft agrees to help his progeny navigate Harlem’s heroin-infested underbelly.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQKPKt5W97YZHMRxn4na92e-0OOygA5nNcn1qj81D_ZrMN_tyYQ5j1ksQBUKMou118hAIcc
1828,Running with the Devil,Action,en,A leader of a drug cartel sends his two toughest henchmen to investigate why a shipment was botched.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTr76I23U0jL_fzrh-ZwGow3PErlCE1ghcQNyU5tKP5i7Z6KRgHRPuy-wH9uTx1PKJv3rQ0
1871,The Good Liar,Crime,en,"Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTCwFAkHd8YXuwAhNd---XBWvbkiQNxtr9-UZeoVikpL0Z5CXCXu-GbXXVOakPE4FnzeVCx
1932,Every Day,"Fantasy,Romance",en,"16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSbcrtiu0tmqPvI3dWx9yn8jKYwiPLRws_iVo-J5G69QEXvAsMsGNKI1keNt1fBY6eNOqwQ
1946,Tomb Raider,"Action,Adventure,Fantasy",en,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTqpFX8UcWK1-IjrNfZzoGpgWrDpjQ8q36Ei4eqT8hsDl9D3eiw0BupIGSPK6A31m15EbT0
2001,Future World,Science Fiction,en,A young boy searches a future world wasteland for a rumored cure for his dying mother.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ6BvvrEOdEzyUWG0AN30Z3LclZ0Ea1fZwCYy7xoSvZS5qgXI7xNVs795IlY8CO15qbsCzH
2084,Venom,"Science Fiction,Action",en,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRSAV161vHVXamqMrcrD63a116fbv_B3icvCM7XVpK2S2U3vNGKeat6KFnEcyQxH9Zmt8eE
3072,D-Day,War,en,"Some people called it a suicide, but for the Rangers of the 2nd Battalion, that's another word for mission. When an elite group of American soldiers are ordered to take out a series of German machine gun nests, they find themselves blindly venturing into hostile territory. Outnumbered and outgunned they must risk life and limb as they cross treacherous terrain, never knowing where the enemy might be hiding.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRWXAKFF9iFHkvThhlaGmE_WvHACZD3723KB6HgZacBHocYzss8RyN-VgPz6wNZL6awi18E
4015,Loveyatri,"Romance, Comedy",en,"Romance blossoms between young Sushrut and Michelle when they meet during the festival of Navratri; when Michelle returns home to the United Kingdom, Sushrut embarks on an adventurous journey through a strange land to win back the woman he loves.",http://t1.gstatic.com/images?q=tbn:ANd9GcRMZh7jsWpZY-tkBMbZsAV3tforTqv0ABgNFxOliElw8evtf5CkNB_vWh_Hu226fiDmpxwOhKYxpuh2qc4kA6lERkDQH43-UA
4016,Anyone but for movie ,"Comedy, Romance",en,"Despite having an amazing first date, Bea and Ben's initial attraction quickly turns sour. When they unexpectedly find themselves at a destination wedding in Australia, the pair pretend to be the perfect couple to keep up appearances.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOJVvLYOeK82BVLasc9jnS9LhNQdwgmeNPy4NQb_SphLpELsES5ja-cqZnXB9t7AqaM0Wl
4017,It Ends with us,"Romance, Drama",en,"Lily Bloom moves to Boston to chase her lifelong dream of opening her own business. A chance meeting with charming neurosurgeon Ryle Kincaid soon sparks an intense connection, but as the two fall deeply in love, she begins to see sides of Ryle that remind her of her parents' relationship. When Lily's first love, Atlas Corrigan, suddenly reenters her life, her relationship with Ryle gets upended, leaving her with an impossible choice.",http://t2.gstatic.com/images?q=tbn:ANd9GcRMs0qatPUikt1PmLgysMUu0ZOE_kcIDm2zPqx4DanxZcWmtFS22iM_ypJq117Kv3m0tmAFIMmY7tKiQXVhIF4TKp1ZLqRTRw
